project_id,acronym,startDate,title,topic,coordinator,country,city,orgURL,contactForm,objective_snippet,ecMaxContribution,projectURL
101298721,IRIS Africa,2026-05-01,IRIS Africa: Intelligent and Responsible Innovation with GenAI for Societal impact,HORIZON-CL4-2025-04-HUMAN-08,SUSTAINABLE TRANSITION SOCIETA' COOPERATIVA,IT,Ravenna,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/883965754/101298721,"The IRIS Africa project aims to bridge the gap in Generative AI (GenAI) adoption across Africa, focusing on empowering rural populations, women, and youth through tailored AI solutions in agriculture and healthcare. By developing context-specific Large Language Models (LLMs) and risk-classification ",1999982,https://cordis.europa.eu/project/id/101298721
101270324,TWIN4CITIES,2026-05-01,Intelligent Digital Solutions for Transforming Urban Ecosystems into Resilient Climate-Neutral Entities,HORIZON-MISS-2025-04-CIT-02,ETHNIKO KENTRO EREVNAS KAI TECHNOLOGIKIS ANAPTYXIS,EL,THERMI THESSALONIKI,https://www.certh.gr,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/998802502/101270324,"TWIN4CITIES is a groundbreaking initiative designed to support urban environments in their efficient planning and management, transforming them into vibrant, climate-neutral and resilient environments, while facilitating the accomplishment of their environmental goals. The project's primary objectiv","5999950,63",https://cordis.europa.eu/project/id/101270324
101270783,TWINVERSE,2026-05-01,The Federated Universe of AI-Enhanced Digital Twins to Achieve Climate Neutrality of Urban Environments,HORIZON-MISS-2025-04-CIT-02,FONDAZIONE LINKS - LEADING INNOVATION & KNOWLEDGE FOR SOCIETY,IT,Torino,,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/916573856/101270783,"European cities are at the frontline of the climate crisis, responsible for over 70% of global CO2 emissions while hosting 75% of the EU population—a figure projected to rise further. Cities are also increasingly exposed to the compounding impacts of heatwaves, flooding, air pollution, and energy po","5988205,25",https://cordis.europa.eu/project/id/101270783
101270016,FIT-HORIZONS,2026-05-01,Flexible Tool Environment for Holistic Retrofits and Decarbonization of Ships,HORIZON-CL5-2025-04-D5-13,SINTEF OCEAN AS,NO,TRONDHEIM,http://www.sintef.no/ocean,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/997806603/101270016,The FIT-HORIZONS project aims to develop an intelligent tool for the design of retrofit solutions for waterborne vessels that will be able to analyse a multitude of different retrofit technologies and their combinations in a holistic manner. This is urgently needed to reduce Green House Gas emission,"3998318,53",https://cordis.europa.eu/project/id/101270016
101294797,AUTONIX,2026-05-01,NEXT-GENERATION AUTOMOTIVE REMANUFACTURING,HORIZON-CL4-INDUSTRY-2025-01-TWIN-TRANSITION-01,PANEPISTIMIO PATRON,EL,RIO PATRAS,http://www.upatras.gr,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999894528/101294797,"AUTONIX will pioneer a new generation of digital and circular manufacturing solutions for automotive remanufacturing, enabling the transition from linear value chains to scalable circular ecosystems. The project will create an AI-enabled, interoperable physical–digital ecosystem tailored to the high","6359668,75",https://cordis.europa.eu/project/id/101294797
101270878,DYNACITY,2026-05-01,"Dynamic Digital Twins and AI-Enabled Urban Planning for Sustainable, Citizen-Centred Cities",HORIZON-MISS-2025-04-CIT-02,PANEPISTIMIO PATRON,EL,RIO PATRAS,http://www.upatras.gr,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999894528/101270878,"DynaCITY introduces a new paradigm in sustainable and inclusive urban transformation by developing an AI-powered, participatory Digital Twin framework tailored to the complex needs of cities transitioning toward climate neutrality. Aligned with the Horizon Europe and MISSION strategies, DynaCITY del",5998325,https://cordis.europa.eu/project/id/101270878
101294402,RECITHERM,2026-05-01,REVERSIBLE THERMODYNAMIC ENERGY STORAGE FOR RENEWABLE ENERGY CARRIERS VIA EFFICIENT WORK TO HEAT TO WORK TRANSFORMATION FOR THE PROCESS INDUSTRIES,HORIZON-CL4-INDUSTRY-2025-01-TWIN-TRANSITION-33,INEGI - INSTITUTO DE CIENCIA E INOVACAO EM ENGENHARIA MECANICA E ENGENHARIA INDUSTRIAL,PT,PORTO,http://www.inegi.pt,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/996840968/101294402,"Renewable energy carriers such as electricity, green hydrogen, solar heat exhibit significant temporal variations; process industry sites must cope with fluctuating energy inputs while meeting stringent energy efficiency, environmental and economic criteria. RECITHERM addresses this challenge by dev","10117311,25",https://cordis.europa.eu/project/id/101294402
101269157,Euro CZ factory,2026-05-01,Safe and stable low-power high-performance European CZ technology ready for accelerated scaling of a sustainable Western PV value chain,HORIZON-CL5-2025-02-D3-09,SINTEF AS,NO,Trondheim,http://www.sintef.no,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/910945140/101269157,"Silicon-based solar cells were developed in the West, but the industrial ecosystem is now in China. PV is quickly becoming the world’s most important source of green electricity, and the geopolitical situation has led to large subsidies for PV industries in USA, India, and Europe. CZ ingot and wafer","8999396,63",https://cordis.europa.eu/project/id/101269157
101289347,BGEplus,2026-05-01,Biodiversity Genomics Europe plus,HORIZON-CL6-2025-01-BIODIV-03,STICHTING NATURALIS BIODIVERSITY CENTER,NL,Leiden,http://www.naturalis.nl,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999603043/101289347,"Bidoiversity Genomics Europe plus (BGE+) builds on a pan-European collaboration to scale up the production and uptake of genomic evidence for taxonomy, monitoring and policy. It widens participation, standardises methods, and prepares a distributed European system for biodiversity genomics that link","11999887,5",https://cordis.europa.eu/project/id/101289347
101293392,OASIS,2026-05-01,Observation and AI-powered System for Intelligent water Solutions,HORIZON-CL6-2025-03-GOVERNANCE-09,SUOMEN YMPARISTOKESKUS,FI,HELSINKI,http://www.environment.fi/syke,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999478010/101293392,"OASIS will deliver Earth Intelligence in the water thematic domain to address global challenges, support European Union (EU) policies. We tackle main aspects of water resilience and water cycle management and create innovative policy-mixes with biodiversity and climate change. OASIS is targeted both","7492126,88",https://cordis.europa.eu/project/id/101293392
